mol,sub1,sub2,isolated_vac,supermolecule,isolated_supergeom_owngrid,isolated_supergeom_supergrid,fde_v,fde_vw11,fnt_v,fnt_vw11
Cr,CrO$_4^{2-}$,12 H$_2$O,-2944.2912,-2863.68,-2813.8701,-2814.585,-2796.4468,-2796.4439,-2816.3213,-2816.3134
Mn,MnO$_4^{-}$,12 H$_2$O,-4259.8771,-4279.8494,-4221.8368,-4221.8657,-4225.7555,-4225.7667,-4236.4839,-4236.4998
Co,Co(CN)$_6^{3-}$,12 H$_2$O,-6125.6798,-4993.8201,-4967.6189,-4967.4408,-4963.6009,-4963.6066,-4966.1213,-4966.1188
Zn,Zn(H$_2$O)$_6^{2+}$,12 H$_2$O,1985.4178,1939.1123,1947.7289,1947.7459,1946.8668,1946.8668,1946.9321,1946.9321
Mo,MoO$_4^{2-}$,12 H$_2$O,-403.3011,-383.6767,-335.5684,-335.8125,-315.6369,-315.7931,-324.4548,-324.4548
Tc,TcO$_4^{-}$,12 H$_2$O,-1264.2636,-1254.453,-1241.5628,-1241.5995,-1228.3957,-1228.3957,-1230.3745,-1230.3746
Ru,Ru(CN)$_6^{4-}$,12 H$_2$O,-762.8891,228.2762,74.8138,69.6719,204.9638,205.0416,220.4654,220.3351
Pd,PdCl$_6^{2-}$,12 H$_2$O,-1768.4043,-1477.3337,-1550.3824,-1549.8372,-1533.235,-1532.8709,-1501.8908,-1501.797
Ag,Ag(H$_2$O)$_4^{+}$,12 H$_2$O,4589.0627,4377.6442,4408.0483,4408.1002,4408.4061,4408.2708,4407.6637,4407.3575
W,WO$_4^{2-}$,12 H$_2$O,4468.8709,4436.9428,4547.5992,4547.6936,4567.8561,4567.4923,4558.1367,4557.8618
Re,ReO$_4^{-}$,12 H$_2$O,3414.5834,3390.2474,3435.8192,3435.7271,3446.8677,3446.8972,3442.4466,3442.4629
Pt,PtCl$_6^{2-}$,12 H$_2$O,2557.4652,3376.7528,2884.9378,2884.7471,3066.9424,3066.8684,3125.3993,3125.7095
