mol,v1,v2,v3,vref
Cr,-2386.8759,-2560.6218,-2267.1219,-2315.5808
Mn,-3452.5005,-3841.8715,-3416.8512,-3462.6780
Co,-4963.8006,-4520.5332,-4022.5167,-4040.9943
Zn,1606.1884,1772.4333,1574.9621,1574.6810
Mo,-328.6739,-305.3672,-257.6659,-306.7781
Tc,-1026.0535,-1129.8221,-997.0005,-1012.1069
Ru,-619.9402,63.4014,164.0207,64.5992
Pd,-1434.4075,-1410.8480,-1243.9204,-1192.6403
Ag,3715.1408,4011.3240,3568.8089,3549.8918
W,3617.7854,4138.3153,3697.9634,3597.9237
Re,2763.8126,3126.5955,2789.9628,2750.1004
Pt,2069.5468,2790.9176,2529.5734,2340.7996
